0,0.61803
0.01,0.61426
0.02,0.61056
0.03,0.60694
0.04,0.60341
0.05,0.59997
0.06,0.59659
0.07,0.5933
0.08,0.59008
0.09,0.58694
0.1,0.58388
0.11,0.58089
0.12,0.57797
0.13,0.57512
0.14,0.57234
0.15,0.56963
0.16,0.56698
0.17,0.56439
0.18,0.56186
0.19,0.55938
0.2,0.55696
0.21,0.5546
0.22,0.55228
0.23,0.55002
0.24,0.54782
0.25,0.54564
0.26,0.5435
0.27,0.5414
0.28,0.53934
0.29,0.53732
0.3,0.53533
0.31,0.53337
0.32,0.53144
0.33,0.52955
0.34,0.52768
0.35,0.52583
0.36,0.52401
0.37,0.5222
0.38,0.52042
0.39,0.51866
0.4,0.51691
0.41,0.51518
0.42,0.51346
0.43,0.51175
0.44,0.51005
0.45,0.50836
0.46,0.50668
0.47,0.50501
0.48,0.50334
0.49,0.50167
0.5,0.5
0.51,0.49833
0.52,0.49666
0.53,0.49499
0.54,0.49332
0.55,0.49164
0.56,0.48995
0.57,0.48825
0.58,0.48654
0.59,0.48482
0.6,0.48309
0.61,0.48134
0.62,0.47958
0.63,0.4778
0.64,0.47599
0.65,0.47417
0.66,0.47232
0.67,0.47045
0.68,0.46856
0.69,0.46663
0.7,0.46467
0.71,0.46268
0.72,0.46066
0.73,0.4586
0.74,0.4565
0.75,0.45436
0.76,0.45218
0.77,0.44998
0.78,0.44772
0.79,0.4454
0.8,0.44304
0.81,0.44062
0.82,0.43814
0.83,0.43561
0.84,0.43302
0.85,0.43037
0.86,0.42766
0.87,0.42488
0.88,0.42203
0.89,0.41911
0.9,0.41612
0.91,0.41306
0.92,0.40992
0.93,0.4067
0.94,0.40341
0.95,0.40003
0.96,0.39659
0.97,0.39306
0.98,0.38944
0.99,0.38574
1,0.38197
