e,PDF_a1,PDF_a2,PDF_a10
-0.1,5,0,0
-0.097979798,5,0.299969391,4.61E-12
-0.095959596,5,0.593816957,2.15E-09
-0.093939394,5,0.8815427,7.54E-08
-0.091919192,5,1.163146618,9.14E-07
-0.08989899,5,1.438628711,6.19E-06
-0.087878788,5,1.707988981,2.90E-05
-0.085858586,5,1.971227426,0.000105458
-0.083838384,5,2.228344047,0.000317898
-0.081818182,5,2.479338843,0.00083075
-0.07979798,5,2.724211815,0.001939167
-0.077777778,5,2.962962963,0.004130316
-0.075757576,5,3.195592287,0.008154729
-0.073737374,5,3.422099786,0.015103628
-0.071717172,5,3.642485461,0.026486691
-0.06969697,5,3.856749311,0.044303696
-0.067676768,5,4.064891338,0.071102968
-0.065656566,5,4.26691154,0.11001959
-0.063636364,5,4.462809917,0.164786934
-0.061616162,5,4.652586471,0.23971618
-0.05959596,5,4.8362412,0.339640006
-0.057575758,5,5.013774105,0.469818522
-0.055555556,5,5.185185185,0.635807594
-0.053535354,5,5.350474441,0.843291867
-0.051515152,5,5.509641873,1.0978869
-0.049494949,5,5.662687481,1.404916822
-0.047474747,5,5.809611264,1.769175554
-0.045454545,5,5.950413223,2.194680992
-0.043434343,5,6.085093358,2.684432435
-0.041414141,5,6.213651668,3.240181949
-0.039393939,5,6.336088154,3.862230296
-0.037373737,5,6.452402816,4.54925746
-0.035353535,5,6.562595654,5.298196803
-0.033333333,5,6.666666667,6.104160382
-0.031313131,5,6.764615856,6.960421185
-0.029292929,5,6.85644322,7.858455931
-0.027272727,5,6.94214876,8.788049794
-0.025252525,5,7.021732476,9.737462073
-0.023232323,5,7.095194368,10.69364941
-0.021212121,5,7.162534435,11.64254094
-0.019191919,5,7.223752678,12.56935765
-0.017171717,5,7.278849097,13.45896642
-0.015151515,5,7.327823691,14.29625782
-0.013131313,5,7.370676462,15.06653554
-0.011111111,5,7.407407407,15.7559049
-0.009090909,5,7.438016529,16.35164762
-0.007070707,5,7.462503826,16.84257029
-0.005050505,5,7.480869299,17.21931501
-0.003030303,5,7.493112948,17.47462152
-0.001010101,5,7.499234772,17.60353209
0.001010101,5,7.499234772,17.60353209
0.003030303,5,7.493112948,17.47462152
0.005050505,5,7.480869299,17.21931501
0.007070707,5,7.462503826,16.84257029
0.009090909,5,7.438016529,16.35164762
0.011111111,5,7.407407407,15.7559049
0.013131313,5,7.370676462,15.06653554
0.015151515,5,7.327823691,14.29625782
0.017171717,5,7.278849097,13.45896642
0.019191919,5,7.223752678,12.56935765
0.021212121,5,7.162534435,11.64254094
0.023232323,5,7.095194368,10.69364941
0.025252525,5,7.021732476,9.737462073
0.027272727,5,6.94214876,8.788049794
0.029292929,5,6.85644322,7.858455931
0.031313131,5,6.764615856,6.960421185
0.033333333,5,6.666666667,6.104160382
0.035353535,5,6.562595654,5.298196803
0.037373737,5,6.452402816,4.54925746
0.039393939,5,6.336088154,3.862230296
0.041414141,5,6.213651668,3.240181949
0.043434343,5,6.085093358,2.684432435
0.045454545,5,5.950413223,2.194680992
0.047474747,5,5.809611264,1.769175554
0.049494949,5,5.662687481,1.404916822
0.051515152,5,5.509641873,1.0978869
0.053535354,5,5.350474441,0.843291867
0.055555556,5,5.185185185,0.635807594
0.057575758,5,5.013774105,0.469818522
0.05959596,5,4.8362412,0.339640006
0.061616162,5,4.652586471,0.23971618
0.063636364,5,4.462809917,0.164786934
0.065656566,5,4.26691154,0.11001959
0.067676768,5,4.064891338,0.071102968
0.06969697,5,3.856749311,0.044303696
0.071717172,5,3.642485461,0.026486691
0.073737374,5,3.422099786,0.015103628
0.075757576,5,3.195592287,0.008154729
0.077777778,5,2.962962963,0.004130316
0.07979798,5,2.724211815,0.001939167
0.081818182,5,2.479338843,0.00083075
0.083838384,5,2.228344047,0.000317898
0.085858586,5,1.971227426,0.000105458
0.087878788,5,1.707988981,2.90E-05
0.08989899,5,1.438628711,6.19E-06
0.091919192,5,1.163146618,9.14E-07
0.093939394,5,0.8815427,7.54E-08
0.095959596,5,0.593816957,2.15E-09
0.097979798,5,0.299969391,4.61E-12
