sig,cost_discrete,cost_identity
0.05773502691896259,0.002314814814814815,0.002046956781497198
0.08508319756478697,0.002314814814814815,0.002514979537171073
0.11243136821061135,0.002314814814814815,0.0027129252665481583
0.13977953885643574,0.002314814814814815,0.00281150849553449
0.1671277095022601,0.002314814814814815,0.002867107168490811
0.1944758801480845,0.002314814814814815,0.0029013928457386935
0.22182405079390888,0.002314814814814815,0.002923977866074761
0.24917222143973328,0.002314814814814815,0.0029396248498742704
0.2765203920855576,0.002314814814814815,0.002950904044595577
0.303868562731382,0.002314814814814815,0.002959299160957582
0.3312167333772064,0.002314814814814815,0.0029657144364933783
0.3585649040230308,0.002314814814814815,0.0029707260680308938
0.38591307466885516,0.002314814814814815,0.0029747151491252496
0.41326124531467956,0.002314814814814815,0.002977941816892287
0.44060941596050396,0.002314814814814815,0.0029805885200314165
0.4679575866063283,0.002314814814814815,0.0029827862638671767
0.4953057572521527,0.002314814814814815,0.0029846310720981475
0.522653927897977,0.002314814814814815,0.002986194618953699
0.5500020985438014,0.002314814814814815,0.0029875312757521076
